matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
18,2,155,3,0.0,2.0,0,1,0,,,28,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
18,3,173,3,0.0,5.0,8,1,0,,,20,4,2,1,2,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
18,4,178,3,0.0,1.0,5,1,0,,,3,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
18,5,237,3,0.0,5.0,16,2,0,,,19,1,1,0,0,5.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
18,6,1740,3,0.0,3.0,3,1,0,,,4,4,0,0,0,5.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
19,1,177,3,0.0,1.0,0,1,0,,,52,6,1,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1,5
19,2,9101,3,0.0,3.0,0,0,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0
19,3,2067,3,0.0,4.0,25,3,0,,,115,5,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1,1
19,4,7127,3,0.0,3.0,10,0,0,,,63,3,1,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2
19,5,10910,3,0.0,1.0,6,1,0,,,0,1,0,2,0,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
19,6,1100,3,0.0,5.0,8,1,0,,,1,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1
20,1,10592,4,0.0,3.0,3,1,0,,,15,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4,6
20,2,4176,4,0.0,1.0,0,2,0,,,4,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
20,3,236,4,0.0,5.0,15,2,0,1.0,1.0,65,2,0,0,0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1
20,4,2170,4,0.0,1.0,2,1,0,,,5,2,1,0,1,5.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
20,5,3654,4,0.0,3.0,6,1,0,,,0,0,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0
20,6,3461,4,0.0,5.0,0,1,0,,,6,3,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
21,1,181,4,0.0,5.0,0,0,0,,,0,0,0,0,0,5.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,2,230,4,0.0,1.0,7,3,0,1.0,3.0,41,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
21,3,8567,4,0.0,4.0,0,1,0,,,35,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
