matchNum,allianceStationID,team,teamMatchNum,scoutingStatusID,preNoShow,preStartPosID,autoLeave,autoL4,autoL3,autoL2,autoL1,autoMissL4,autoMissL3,autoMissL2,autoMissL1,autoAlgaeRmv,autoProcessor,autoBarge,autoMarkCoral,autoMarkAlgae,autoMarkMiss,autoCoralStation1,autoCoralStation2,autoMissProcessor,autoMissBarge,teleL4,teleL3,teleL2,teleL1,teleMissL4,teleMissL3,teleMissL2,teleMissL1,teleAlgaeRmv,teleProcessor,teleBarge,teleMissProcessor,teleMissBarge,teleOppProcessor,teleOppCoral,teleOppAlgae,teleCoralStation1,teleCoralStation2,teleCoralGround,climbStatusID,climbTime,postOppCage,postSubBroke,postBreakDown,postDefense,postWasDefended,postGroundPick,postStationPick,postShotAlgae
11,3,1027,2,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,4,8889,2,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,1,1,1,0,0,0,0,0,4,2,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,5,195,2,1.0,0.0,2.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,6,1099,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,1,5142,2,1.0,0.0,4.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,2,3634,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12,3,236,2,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,6346,2,1.0,0.0,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,5,228,2,1.0,0.0,2.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,6,175,2,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,6.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1,3464,2,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,2,3146,2,1.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,6,0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,3,10133,2,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,173,2,1.0,0.0,1.0,1.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,1,1,1,2,0,0,2,0,0,0,0,0,0,0,15,0,0,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,5,10266,2,1.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,4048,2,1.0,0.0,4.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,1,2168,3,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
14,2,3461,3,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,10,0,0,6.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,3,571,3,1.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,4,10245,3,1.0,0.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,5,155,3,1.0,0.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
